Price,Close,SMA_50,SMA_200,Signal_SMA,Action,ExecAction,Portfolio,Shares,Max Drawdown Amount,Max Drawdown Percent,Daily Return
Ticker,NVDA,,,,,,,,,,
Date,,,,,,,,,,,
2020-08-17,12.29647159576416,,,0,,0,1000.0,0.0,0.0,0.0,
2020-08-18,12.220467567443848,,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2020-08-19,12.09862232208252,,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2020-08-20,12.101113319396973,,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2020-08-21,12.64183235168457,,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2020-08-24,12.678459167480469,,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2020-08-25,12.708113670349121,,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2020-08-26,12.731038093566895,,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2020-08-27,12.586764335632324,,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2020-08-28,13.1045560836792,,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2020-08-31,13.330561637878418,,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2020-09-01,13.779716491699219,,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2020-09-02,14.303645133972168,,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2020-09-03,12.976622581481934,,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2020-09-04,12.584796905517578,,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2020-09-08,11.87741470336914,,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2020-09-09,12.677019119262695,,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2020-09-10,12.274974822998047,,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2020-09-11,12.128162384033203,,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2020-09-14,12.8337984085083,,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2020-09-15,12.952194213867188,,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2020-09-16,12.477115631103516,,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2020-09-17,12.426270484924316,,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2020-09-18,12.152837753295898,,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2020-09-21,12.479859352111816,,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2020-09-22,12.59999942779541,,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2020-09-23,12.087533950805664,,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2020-09-24,12.311115264892578,,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2020-09-25,12.835293769836426,,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2020-09-28,12.996063232421875,,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2020-09-29,13.186243057250977,,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2020-09-30,13.490079879760742,,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2020-10-01,13.57382869720459,,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2020-10-02,13.02323055267334,,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2020-10-05,13.601747512817383,,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2020-10-06,13.695467948913574,,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2020-10-07,13.922286987304688,,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2020-10-08,13.797411918640137,,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2020-10-09,13.721640586853027,,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2020-10-12,14.183505058288574,,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2020-10-13,14.2056884765625,,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2020-10-14,14.05314826965332,,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2020-10-15,13.928271293640137,,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2020-10-16,13.770242691040039,,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2020-10-19,13.457430839538574,,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2020-10-20,13.60473918914795,,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2020-10-21,13.484349250793457,,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2020-10-22,13.321090698242188,,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2020-10-23,13.54965591430664,,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2020-10-26,13.101995468139648,13.038489761352539,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2020-10-27,13.356733322143555,13.059694995880127,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2020-10-28,12.58928108215332,13.067071266174317,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2020-10-29,12.985095977783203,13.08480073928833,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2020-10-30,12.496561050415039,13.092709693908692,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2020-11-02,12.543169975280762,13.090736446380616,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2020-11-03,12.980608940124512,13.096779441833496,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2020-11-04,13.753044128417969,13.117678050994874,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2020-11-05,14.11770248413086,13.145411338806152,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2020-11-06,14.518502235412598,13.184046096801758,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2020-11-09,13.590032577514648,13.193755626678467,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2020-11-10,12.731857299804688,13.181781539916992,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2020-11-11,13.377917289733887,13.173745555877685,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2020-11-12,13.41655445098877,13.156003742218017,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2020-11-13,13.257282257080078,13.161616935729981,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2020-11-16,13.474878311157227,13.179418563842773,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2020-11-17,13.382156372070312,13.209513397216798,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2020-11-18,13.38863754272461,13.223745765686035,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2020-11-19,13.400102615356445,13.246248321533203,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
2020-11-20,13.04865550994873,13.264658184051514,,0,0.0,0,1000.0,0.0,0.0,0.0,0.0
